Curriculum,ECML - Chemical Engineering (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,14.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,MAT 021B Calculus,MAT,021B,4,"","",4,,,2,-0.5188492555831266,-0.4977698511166253,3224,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,3,-0.6115875299760192,-0.5438177458033573,2085,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
3,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,4,-0.38784214945424017,-0.29442485306465155,1191,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NG"", ""NP*"", ""P*"", ""RW"", ""Y""]"
4,MAT 021A Calculus,MAT,021A,"","","",4,,,1,-0.3247931338028169,-0.3174163732394366,2272,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
5,MAT 022A Linear Algebra,MAT,022A,2,6,"",3,,,5,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,2,"","",1,,,5,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,6,-0.28325074331020816,-0.2958572844400396,1009,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,3,-0.5993810786914235,-0.4216976127320955,1131,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
9,PHY 009B Classical Physics,PHY,009B,8;2,3,"",5,,,4,-0.45986,-0.29641,1000,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*""]"
10,PHY 009C Classical Physics,PHY,009C,9;3;5,"","",5,,,5,-0.4163980099502488,-0.4140099502487562,1005,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""Y""]"
11,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
12,ECH 005 Intro to Chem Eng,ECH,005,4,1,"",3,,,2,-0.008424657534246595,0.18130136986301368,146,202201,201701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""I"", ""NP*"", ""P*""]"
13,ECH 051 Material Balances,ECH,051,2,3,"",4,,,4,0.10940828402366864,0.41485207100591714,169,202110,200501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
14,ECH 060 Num Methods in Eng,ECH,060,2,"","",4,,,6,0.09264864864864863,-0.027891891891891892,185,202103,201703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""P*""]"
15,ECH 080 Chem Engr Profession,ECH,080,"","","",1,,,1,0.4527179487179488,0.49333333333333335,195,202110,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*""]"
